ShowId,artist,title,album
11,"Elvis Presley","Shake, Rattle And Roll","Elvis 56"
11,Kinks,"See My Friends","Dedicated Kinks EP"
11,"Bob Dylan","Buckets Of Rain","Blood On The Tracks"
11,"Johnny Cash",Pocahontas,"Unearthed (box set)"
11,"Aretha Franklin","Baby, I Love You","Instant Party: Whole Lotta Soul"
11,Zombies,"Leave Me Be","The Zombies"
11,Traffic,"Freedom Rider","John Barleycorn Must Die (Deluxe Edition)"
11,"Jimmy Smith","What'd I Say","Any Number Can Win"
11,"Lucinda Williams","I Lost It","Car Wheels On A Gravel Road"
11,"Joe Tex","The Love You Save (May Be Your Own)","Greatest Hits"
11,"Roy Montrell","(Every Time I Hear That) Mellow Saxophone","The Specialty Story"
11,"Jackie Brenston & His Delta Cats","Rocket 88","Loud, Fast & Out of Control: The Wild Sounds of '50s Rock"
11,Byrds,"Ballad Of Easy Rider","Ballad Of Easy Rider"
11,Byrds,"It Won't Be Wrong","Turn! Turn! Turn!"
11,"Spencer Davis Group","When I Come Home","The Best of The Spencer Davis Group"
11,Who,"Young Man Blues","Live At Leeds"
11,"Lonesome Sundown","I'm A Young Man","I'm A Mojo Man"
11,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
12,Beatles,"Paperback Writer","Past Masters"
12,"Everly Brothers","Made To Love","Walk Right Back: The Everly Bros on WB 1960-1969"
12,"Lonesome Sundown","My Home Ain't Here","I'm A Mojo Man"
12,"Rolling Stones","Doncha Bother Me",Aftermath
12,"Neil Young","Tonight's The Night","Tonight's The Night"
12,Shangri-Las,"Right Now And Not Later","The Best of The Shangri-Las"
12,"Muddy Waters","Got My Mojo Working","The Anthology: 1947-1972"
12,"James Brown","I Can't Stand Myself (When You Touch Me)","Star Time (Box Set)"
12,"White Stripes","The Hardest Button To Button",Elephant
12,"Jimmy McGriff","All About My Girl","Greatest Hits"
12,"Dusty Springfield","Just A Little Lovin'","Dusty In Memphis (Deluxe Edition)"
12,"Jimmy Reed","Wanna Be Loved","Rockin' With Reed"
12,"Jerry Lee Lewis","Good Golly Miss Molly","Live At The Star-Club Hamburg"
12,"Roy Orbison","Candy Man","The All-Time Greatest Hits of Roy Orbison, Vol 1-2"
12,Searchers,"Ain't That Just Like Me","The Very Best of The Searchers"
12,"J.J. Cale",Starboard,Okie
12,"Eric Burdon & The Animals","San Franciscan Nights","The Best of Eric Burdon & The Animals 1966-1968"
12,"Fraternity Of Man","Don't Bogart Me (Don't Bogart That Joint)","Easy Rider Soundtrack (Deluxe Edition)"
12,"John Lee Hooker","One Bourbon, One Scotch, One Beer","The Very Best of John Lee Hooker"
12,Beatles,"Flying ","Magical Mystery Tour"
12,Donovan,"Hurdy Gurdy Man","The Essential Donovan"
12,"John Lennon","Cold Turkey","Shaved Fish"
12,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
13,Rascals,See,"Anthology 1965-1972"
13,Creation,"Making Time","We Are Paintermen"
13,"Music Machine","Talk Talk","Nuggets: Original Artyfacts From The First Psychedelia Era 1965-1968"
13,Love,"My Little Red Book","The Best of Love"
13,"Dale Hawkins",Suzie-Q,"Rock 'N' Roll Tornado"
13,"Little Walter","Mellow Down Easy","His Best"
13,"Buffalo Springfield",Questions,"Last Time Around"
13,"Sam & Dave","Soothe Me (live)","The Very Best of Sam & Dave"
13,"James Brown","Think (live)","James Brown Live At The Apollo, 1962 (Deluxe Edition)"
13,Yardbirds,"Over Under Sideways Down",Ultimate
13,"Jeff Beck Group","Beck's Bolero",Truth
13,Searchers,"When You Walk In The Room","BBC Sessions"
13,"Van Morrison","So Quiet In Here",Enlightenment
13,Band,"The Shape I'm In","Stage Fright"
13,Beatles,"She Said She Said",Revolver
13,"Eddie Cochran","Something' Else","The Best of Eddie Cochran"
13,"Beach Boys","Long Promised Road","Sunflower / Surf's Up"
13,"J.J. Cale","Travelin' Light",Troubadour
13,"Gerry & The Pacemakers","It's Gonna Be Alright","At Abbey Road 1963 to 1966"
13,"Billy J. Kramer","From A Window","Golden Legends"
13,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
14,"Rolling Stones","Down Home Girl",Now!
14,Beatles,"Doctor Robert",Revolver
14,"Buffalo Springfield","Special Care","Last Time Around"
14,Band,"Rag Mama Rag","The Band"
14,"Sir Douglas Quintet","She's About A Mover","Nuggets: Original Artyfacts From The First Psychedelic Era 1965-1968"
14,"Sam & Dave","When Something Is Wrong With My Baby","The Very Best of Sam & Dave"
14,Spirit,"Water Woman",Spirit
14,"Sonny Boy Williamson","Don't Start Me To Talkin'","The Very Best of Sam & Dave"
14,"Wilson Pickett","Ninety-Nine And One-Half (Won't Do)","Greatest Hits"
14,Zombies,"Whenever You're Ready","Absolutely The Best"
14,"Van Morrison","Youth Of 1,000 Summers",Enlightenment
14,"Muddy Waters","Rollin' & Tumblin', Part 1","The Anthology 1947-1972"
14,Love,"Seven & Seven Is","The Best of Love"
14,Creation,"Painter Man","We Are Paintermen"
14,"Buddy Holly","Words Of Love","Buddy Holly"
14,"White Stripes","Black Math",Elephant
14,"Santo & Johnny","Sleep Walk","Rock Instrumental Classics, Vol.1: The 50's"
14,"Little Walter","Dead Presidents","Willie Dixon: The Chess Box"
14,"Ritchie Valens","Ooh! My Head","The Very Best of Ritchie Valens"
14,"Toots & The Maytals","Louie Louie","Sweet And Dandy: The Best of Toots And The Metals"
14,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
15,"Curtis Mayfield","Superfly (live)","Curtis In Chicago"
15,"Toots & The Maytals","Time Tough ","The Best of Toots & The Maytals"
15,"Van Morrison","Real Real Gone",Enlightenment
15,"J.J. Cale","Let Me Do It To You",Troubadour
15,"Keith Richards","Wicked As It Seems","Main Offender"
15,"Elmore James","Dust My Broom","The Sky Is Crying: The History of Elmore James"
15,"Lightnin' Hopkins","Don't Embarrass Me Baby","Goin' Away"
15,"Traveling Wilburys","Tweeter & The Monkey Man","Vol. 1"
15,"White Stripes","Little Acorns",Elephant
15,Beatles,Wait,"Rubber Soul"
15,Hollies,"Pay You Back With Interest","30th Anniversary Collection 1963-1993"
15,"Derek & The Dominos","One More Chance","Eric Clapton Crossroads"
15,Creation,"How Does It Feel To Feel","We Are Paintermen"
15,Creation,"Painter Man","We Are Paintermen"
15,"Gene Vincent","Jump Back, Honey, Jump Back","The Screaming End: The Best of Gene Vincent& His Blue Caps"
15,"Lowell Fulson","Reconsider Baby","Chess Blues Classics: 1947 to 1956"
15,"John Mayall","Steppin' Out","Blues Breakers With PC"
15,"Johnny Winter","Hustled Down In Texas","The Best of Johnny Winter"
15,Quik,"Bert's Apple Crumble","Chess Blues Classics"
16,"Blue Cheer","Summertime Blues","Vincebus Eruptum"
16,"Eric Burdon & The Animals","Don't Bring Me Down","The Best of Eric Burdon & The Animals 1966-1968"
